date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2024-03-18,90458.08,4760.951578947369,19,1456.9577,76.68198421052631,275.58147845163944,2238.5484684210523,1753.4851754501278,0.3157894736842105,3,77,Extreme Greed,2024-03-18 05:30:00,30152.693333333333,76.68198421052631,0.2782552174455472
2024-03-19,219884.84,9161.868333333334,24,668.797973,27.86658220833333,103.69610917201797,575.3537,1278.6382241627764,0.20833333333333334,3,79,Extreme Greed,2024-03-19 05:30:00,73294.94666666667,27.86658220833333,0.2687331514252516
2024-03-20,215705.85,3126.171739130435,69,6423.134599,93.08890723188406,320.69467412818193,193.64368536231885,758.2767450442369,0.8695652173913043,2,74,Greed,2024-03-20 05:30:00,107852.925,93.08890723188406,0.2902726946898917
2024-03-21,117895.57,4210.556071428572,28,2335.5080749999997,83.41100267857142,153.73594964500796,124.34982285714285,653.1577193638893,0.8214285714285714,3,78,Extreme Greed,2024-03-21 05:30:00,39298.52333333334,83.41100267857142,0.5425601680750402
2024-03-24,92592.20999999999,4873.274210526315,19,1297.018477,68.26413036842105,84.64288646631248,8.960757894736842,0.14348537794566632,0.7894736842105263,1,74,Greed,2024-03-24 05:30:00,92592.20999999999,68.26413036842105,0.8064957755852277
2024-03-25,57116.32,8159.4742857142855,7,1302.916428,186.13091828571427,173.14631124356953,3582.2999999999997,12.567418191498204,0.8571428571428571,1,75,Extreme Greed,2024-03-25 05:30:00,57116.32,186.13091828571427,1.0749921089793184
2024-03-26,198565.19,1682.7558474576272,118,3215.906593,27.253445703389833,39.504335702364344,219.49172627118645,850.8144239001894,0.9322033898305084,2,81,Extreme Greed,2024-03-26 05:30:00,99282.595,27.253445703389833,0.6898849257642043
2024-03-27,99864.79,2628.020789473684,38,150.41114,3.9581878947368416,13.739361367709469,13627.738306315789,24835.178964040377,0.3157894736842105,2,83,Extreme Greed,2024-03-27 05:30:00,49932.395,3.9581878947368416,0.28809111201045023
2024-03-28,35323.72,2717.209230769231,13,227.85100799999998,17.527000615384615,21.04651492781009,803.983042,1527.730726728924,0.6923076923076923,2,80,Extreme Greed,2024-03-28 05:30:00,17661.86,17.527000615384615,0.8327744843031034
2024-03-29,86914.37,5794.291333333333,15,883.097404,58.873160266666666,95.5086831563824,3541.54,34.7146284521588,0.4,1,79,Extreme Greed,2024-03-29 05:30:00,86914.37,58.873160266666666,0.6164168358417205
2024-03-30,101103.92,2246.753777777778,45,1100.57514,24.45722533333333,52.44350104198017,0.19727666666666666,0.0006337693873670684,0.9777777777777777,1,75,Extreme Greed,2024-03-30 05:30:00,101103.92,24.45722533333333,0.46635378735976685
2024-03-31,39912.96,3070.2276923076925,13,912.786145,70.21431884615384,112.05139600499244,3627.730769230769,0.20159619451057853,0.7692307692307693,1,75,Extreme Greed,2024-03-31 05:30:00,39912.96,70.21431884615384,0.6266260068997753
