date,value,signal,strategy_return,cumulative_return
2025-03-28,44,HOLD,0.0,-1584195.523191
2025-03-29,26,HOLD,0.0,-1584195.523191
2025-03-30,32,HOLD,0.0,-1584195.523191
2025-03-31,34,HOLD,0.0,-1584195.523191
2025-04-01,34,HOLD,0.0,-1584195.523191
2025-04-02,44,HOLD,0.0,-1584195.523191
2025-04-03,25,BUY,-25515.678949999998,-1609711.2021410002
2025-04-04,28,HOLD,0.0,-1609711.2021410002
2025-04-05,30,HOLD,0.0,-1609711.2021410002
2025-04-06,34,HOLD,0.0,-1609711.2021410002
2025-04-07,23,BUY,34899.394798,-1574811.807343
2025-04-08,24,BUY,43120.444797,-1531691.3625460002
2025-04-09,18,BUY,158261.822261,-1373429.540285
2025-04-10,39,HOLD,0.0,-1373429.540285
2025-04-11,25,BUY,410419.694533,-963009.8457520001
2025-04-12,43,HOLD,0.0,-963009.8457520001
2025-04-13,45,HOLD,0.0,-963009.8457520001
2025-04-14,31,HOLD,0.0,-963009.8457520001
2025-04-15,38,HOLD,0.0,-963009.8457520001
2025-04-16,29,HOLD,0.0,-963009.8457520001
2025-04-17,30,HOLD,0.0,-963009.8457520001
2025-04-18,33,HOLD,0.0,-963009.8457520001
2025-04-19,32,HOLD,0.0,-963009.8457520001
2025-04-20,37,HOLD,0.0,-963009.8457520001
2025-04-21,39,HOLD,0.0,-963009.8457520001
2025-04-22,47,HOLD,0.0,-963009.8457520001
2025-04-23,72,HOLD,0.0,-963009.8457520001
2025-04-24,63,HOLD,0.0,-963009.8457520001
2025-04-25,60,HOLD,0.0,-963009.8457520001
2025-04-26,65,HOLD,0.0,-963009.8457520001
2025-04-27,61,HOLD,0.0,-963009.8457520001
2025-04-28,54,HOLD,0.0,-963009.8457520001
2025-04-29,60,HOLD,0.0,-963009.8457520001
2025-04-30,56,HOLD,0.0,-963009.8457520001
2025-05-01,53,HOLD,0.0,-963009.8457520001
